volume,vw,open,close,high,low,date,n
956.0,220.6236,220.65,220.65,220.65,220.5956,2024-08-13 22:55:00,35
1351.0,220.6192,220.6,220.68,220.68,220.6,2024-08-13 23:00:00,59
615.0,220.6722,220.66,220.69,220.69,220.66,2024-08-13 23:05:00,20
190.0,220.6611,220.6666,220.6666,220.6666,220.6666,2024-08-13 23:10:00,8
610.0,220.684,220.7,220.7,220.7,220.7,2024-08-13 23:15:00,22
12973.0,220.5939,220.74,220.5,220.75,220.49,2024-08-13 23:20:00,151
935.0,220.5354,220.5052,220.57,220.57,220.5052,2024-08-13 23:25:00,12
1899.0,220.646,220.62,220.6,220.6955,220.6,2024-08-13 23:30:00,33
4839.0,220.5933,220.6,220.58,220.6,220.58,2024-08-13 23:35:00,67
2925.0,220.5973,220.5986,220.59,220.6,220.58,2024-08-13 23:40:00,34
5339.0,220.5802,220.59,220.56,220.6,220.55,2024-08-13 23:45:00,66
5340.0,220.594,220.58,220.6,220.62,220.55,2024-08-13 23:50:00,85
3284.0,220.6551,220.64,220.7,220.7,220.64,2024-08-13 23:55:00,46
16480.0,221.1018,221.28,221.0,221.4,220.9,2024-08-14 08:00:00,433
6848.0,221.0401,220.92,220.92,221.13,220.92,2024-08-14 08:05:00,140
2666.0,220.9127,220.93,220.98,220.98,220.88,2024-08-14 08:10:00,94
2542.0,220.8274,220.9,220.77,220.9,220.77,2024-08-14 08:15:00,93
2341.0,220.9729,220.92,221.02,221.02,220.92,2024-08-14 08:20:00,55
3745.0,221.0314,220.99,221.07,221.08,220.99,2024-08-14 08:25:00,86
1578.0,221.1247,221.14,221.09,221.15,221.09,2024-08-14 08:30:00,45
3130.0,221.1084,221.16,221.13,221.17,221.0,2024-08-14 08:35:00,98
1027.0,221.0765,221.03,221.13,221.13,221.03,2024-08-14 08:45:00,32
1859.0,221.1608,221.17,221.16,221.18,221.08,2024-08-14 08:50:00,52
119.0,221.0726,221.07,221.07,221.07,221.07,2024-08-14 08:55:00,6
752.0,221.1874,221.19,221.18,221.19,221.18,2024-08-14 09:00:00,21
1390.0,221.179,221.19,221.15,221.2,221.15,2024-08-14 09:05:00,17
892.0,221.1699,221.12,221.2,221.2,221.12,2024-08-14 09:15:00,28
955.0,221.3385,221.33,221.4,221.4,221.33,2024-08-14 09:20:00,38
4091.0,221.526,221.5,221.58,221.59,221.49,2024-08-14 09:25:00,87
1817.0,221.648,221.63,221.61,221.7,221.61,2024-08-14 09:30:00,57
542.0,221.6328,221.63,221.63,221.63,221.63,2024-08-14 09:35:00,18
1258.0,221.6026,221.62,221.61,221.62,221.57,2024-08-14 09:40:00,26
666.0,221.5886,221.61,221.6,221.61,221.6,2024-08-14 09:45:00,21
2945.0,221.6478,221.64,221.6,221.69,221.6,2024-08-14 09:50:00,86
330.0,221.6069,221.61,221.61,221.61,221.61,2024-08-14 09:55:00,12
949.0,221.6776,221.69,221.7,221.7,221.65,2024-08-14 10:00:00,22
1604.0,221.7198,221.69,221.72,221.74,221.69,2024-08-14 10:05:00,56
